title,Actors,Director,Year,,Rating,,,,Exists,Netflix
8.5,"Marcello Mastroianni, Anouk AimÇe, Sandra Milo",Federico Fellini,1963,Memories and fantasies of a movie director,** 8.2,Oscar,** 8.2,,FALSE,
21,"Kevin Spacey, Jim Sturgess, Kate Bosworth",Robert Luketic,2008,fact based story about MIT students took overt Vegas game,** 6.8,,,,FALSE,
300,Gerard Butler,Zack Snyder,2006,King Leonidas & 300 men fight the Persians @ Thermopylae- 400 B.C.,**+  7.9,,,,FALSE,
15 Minutes,"Robert DeNiro, Edward Burns",John Herzfeld,2001,"Russian criminals come to NY, detectives investigate murder",**+ 6.0,,,,FALSE,
25th hour,"Edward Norton, Philip Seymour Hoffman, Rosario Dawson, Barry Pepper, Anna Paquin",Spike Lee,2002,"Cornered by the DEA, Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",***+ 7.8/10,,***+ 7.8/10,,FALSE,
3:10 to Yuma,"Russell Crowe, Christian Bale",James Mangold,,,,,,,FALSE,
"4 months, 3 weeks & 2 days","Anamaria Marinca, Laura Vasiliu, Vlad Ivanov",Cristian Mungiu,2007,Illegal abortion in '80s Romania - Palme D'or,**+ 8,,**+ 8,,FALSE,
400 Blows (Les Quatre cents coups),"Jean-Pierre LÇaud,",Franáois Truffaut,1959,"wrong translation, Antoine Doinel childhood",** 8.1,,** 8.1,,FALSE,
A beautiful mind,"Russell Crowe, Jennifer Connely, Ed Harris",Ron Howard,2001,He saw the world no one could have imagined (schizophrenic),*+,,*+,,FALSE,
A History of violence,"Viggo Mortensen, Maria Bello, Ed Harris",David Cronenberg,2005,Everyone has something to hide,** 7.6,,** 7.6,,FALSE,
A home at the end of the world,"Robin Wright Penn, Collin Farrel, Sissy Spacek",Michael Mayer,2004,"From the author of ""The Hours"". Family can be whatever you want it to be",**+ 6.6,,**+ 6.6,,FALSE,
A mighty heart,Angelina Jolie,,,kidnap and killing of Daniel Pearl,*,,,,FALSE,
